#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -2.81281281        0.03201398        0.02725309        0.00449527        0.00026561
       -2.79279279        0.03161927        0.02704264        0.00431853        0.00025810
       -2.77277277        0.03143259        0.02700812        0.00417087        0.00025360
       -2.75275275        0.03143546        0.02712174        0.00406120        0.00025253
       -2.73273273        0.03160970        0.02735989        0.00399477        0.00025504
       -2.71271271        0.03194044        0.02770711        0.00397237        0.00026096
       -2.69269269        0.03241772        0.02815792        0.00399000        0.00026981
       -2.67267267        0.03303692        0.02871667        0.00403942        0.00028083
       -2.65265265        0.03379772        0.02939516        0.00410945        0.00029311
       -2.63263263        0.03470158        0.03020818        0.00418770        0.00030570
       -2.61261261        0.03574717        0.03116696        0.00426246        0.00031775
       -2.59259259        0.03692361        0.03227084        0.00432425        0.00032852
       -2.57257257        0.03820230        0.03349832        0.00436653        0.00033745
       -2.55255255        0.03952947        0.03479965        0.00438570        0.00034412
       -2.53253253        0.04082274        0.03609412        0.00438042        0.00034819
       -2.51251251        0.04197472        0.03727456        0.00435079        0.00034937
       -2.49249249        0.04286538        0.03822023        0.00429770        0.00034744
       -2.47247247        0.04338151        0.03881655        0.00422264        0.00034232
       -2.45245245        0.04343941        0.03897727        0.00412801        0.00033413
       -2.43243243        0.04300462        0.03866373        0.00401756        0.00032333
       -2.41241241        0.04210312        0.03789567        0.00389677        0.00031068
       -2.39239239        0.04082075        0.03675088        0.00377266        0.00029722
       -2.37237237        0.03929092        0.03535366        0.00365311        0.00028415
       -2.35235235        0.03767365        0.03385522        0.00354585        0.00027259
       -2.33233233        0.03613116        0.03241048        0.00345722        0.00026345
       -2.31231231        0.03480498        0.03115642        0.00339133        0.00025723
       -2.29229229        0.03379878        0.03019529        0.00334952        0.00025397
       -2.27227227        0.03316854        0.02958481        0.00333050        0.00025323
       -2.25225225        0.03292045        0.02933544        0.00333081        0.00025420
       -2.23223223        0.03301486        0.02941350        0.00334553        0.00025583
       -2.21221221        0.03337468        0.02974870        0.00336896        0.00025703
       -2.19219219        0.03389622        0.03024421        0.00339523        0.00025678
       -2.17217217        0.03446152        0.03078843        0.00341876        0.00025433
       -2.15215215        0.03495148        0.03126759        0.00343462        0.00024926
       -2.13213213        0.03525965        0.03157907        0.00343906        0.00024152
       -2.11211211        0.03530615        0.03164463        0.00343012        0.00023139
       -2.09209209        0.03505055        0.03142273        0.00340831        0.00021951
       -2.07207207        0.03450156        0.03091766        0.00337720        0.00020671
       -2.05205205        0.03372110        0.03018351        0.00334361        0.00019398
       -2.03203203        0.03282017        0.02932059        0.00331723        0.00018235
       -2.01201201        0.03194578        0.02846359        0.00330943        0.00017276
       -1.99199199        0.03125959        0.02776215        0.00333144        0.00016600
       -1.97197197        0.03091166        0.02735688        0.00339221        0.00016257
       -1.95195195        0.03101383        0.02735490        0.00349625        0.00016268
       -1.93193193        0.03161825        0.02780996        0.00364211        0.00016617
       -1.91191191        0.03270553        0.02871116        0.00382180        0.00017257
       -1.89189189        0.03418546        0.02998297        0.00402134        0.00018115
       -1.87187187        0.03591048        0.03149692        0.00422259        0.00019097
       -1.85185185        0.03769994        0.03309298        0.00440592        0.00020105
       -1.83183183        0.03937082        0.03460707        0.00455330        0.00021045
       -1.81181181        0.04076953        0.03589971        0.00465142        0.00021840
       -1.79179179        0.04179919        0.03688081        0.00469393        0.00022445
       -1.77177177        0.04243717        0.03752598        0.00468271        0.00022847
       -1.75175175        0.04273939        0.03788104        0.00462762        0.00023073
       -1.73173173        0.04283002        0.03805343        0.00454479        0.00023179
       -1.71171171        0.04287772        0.03819144        0.00445380        0.00023249
       -1.69169169        0.04306260        0.03845478        0.00437415        0.00023368
       -1.67167167        0.04354018        0.03898220        0.00432185        0.00023614
       -1.65165165        0.04441022        0.03986311        0.00430674        0.00024037
       -1.63163163        0.04569747        0.04111972        0.00433122        0.00024653
